Traditional Product,Sustainable Alternative,Material,Brand,Eco-Certifications,Description,Cost,Rating,img_url
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",6825.92,4.8,https://via.placeholder.com/150
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4180.71,3.4,https://via.placeholder.com/150
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",1816.87,2.2,https://via.placeholder.com/150
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",3022.86,1.5,https://via.placeholder.com/150
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5709.57,1.6,https://via.placeholder.com/150
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3943.33,3.8,https://via.placeholder.com/150
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",6077.26,4.8,https://via.placeholder.com/150
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",8204.55,3.3,https://via.placeholder.com/150
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",2989.66,4.9,https://via.placeholder.com/150
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",2540.63,1.0,https://via.placeholder.com/150
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",3598.05,4.8,https://via.placeholder.com/150
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4268.69,2.2,https://via.placeholder.com/150
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",6376.89,4.3,https://via.placeholder.com/150
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",2426.92,3.5,https://via.placeholder.com/150
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5404.13,4.1,https://via.placeholder.com/150
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",4331.77,4.2,https://via.placeholder.com/150
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",2331.47,3.9,https://via.placeholder.com/150
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",5943.63,4.1,https://via.placeholder.com/150
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4071.15,1.6,https://via.placeholder.com/150
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",8036.89,1.1,https://via.placeholder.com/150
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",2990.49,3.5,https://via.placeholder.com/150
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",1767.9,3.9,https://via.placeholder.com/150
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",558.59,3.3,https://via.placeholder.com/150
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",7831.05,3.7,https://via.placeholder.com/150
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",6395.98,3.2,https://via.placeholder.com/150
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1401.04,3.1,https://via.placeholder.com/150
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7198.59,4.0,https://via.placeholder.com/150
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3951.63,4.8,https://via.placeholder.com/150
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",5544.4,3.0,https://via.placeholder.com/150
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",6312.15,2.1,https://via.placeholder.com/150
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",4047.08,1.4,https://via.placeholder.com/150
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4325.96,2.4,https://via.placeholder.com/150
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2485.02,1.1,https://via.placeholder.com/150
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4770.84,4.8,https://via.placeholder.com/150
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",4291.1,1.4,https://via.placeholder.com/150
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",3400.51,3.8,https://via.placeholder.com/150
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",5351.01,5.0,https://via.placeholder.com/150
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",2937.37,3.3,https://via.placeholder.com/150
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",6950.42,2.4,https://via.placeholder.com/150
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",4663.77,4.6,https://via.placeholder.com/150
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",8051.0,2.6,https://via.placeholder.com/150
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2592.09,3.1,https://via.placeholder.com/150
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",7919.03,3.2,https://via.placeholder.com/150
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",5636.53,1.5,https://via.placeholder.com/150
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3202.97,3.2,https://via.placeholder.com/150
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1809.4,4.4,https://via.placeholder.com/150
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7853.46,3.3,https://via.placeholder.com/150
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",4913.6,1.1,https://via.placeholder.com/150
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",1366.18,4.3,https://via.placeholder.com/150
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5414.09,3.3,https://via.placeholder.com/150
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",2372.14,4.2,https://via.placeholder.com/150
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",7125.55,1.0,https://via.placeholder.com/150
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",7337.2,2.7,https://via.placeholder.com/150
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7750.54,3.8,https://via.placeholder.com/150
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3381.42,3.6,https://via.placeholder.com/150
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",5946.95,5.0,https://via.placeholder.com/150
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",2196.18,3.2,https://via.placeholder.com/150
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",5513.69,1.0,https://via.placeholder.com/150
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7048.36,1.1,https://via.placeholder.com/150
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",6288.08,1.3,https://via.placeholder.com/150
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",2741.49,3.9,https://via.placeholder.com/150
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",3704.29,1.3,https://via.placeholder.com/150
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3942.5,1.8,https://via.placeholder.com/150
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",1757.11,3.2,https://via.placeholder.com/150
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4975.02,3.6,https://via.placeholder.com/150
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5604.16,1.1,https://via.placeholder.com/150
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7016.82,3.3,https://via.placeholder.com/150
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",1405.19,1.4,https://via.placeholder.com/150
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",7700.74,4.0,https://via.placeholder.com/150
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3405.49,2.9,https://via.placeholder.com/150
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",2962.27,4.6,https://via.placeholder.com/150
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2301.59,2.2,https://via.placeholder.com/150
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",1265.75,4.8,https://via.placeholder.com/150
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7997.05,2.5,https://via.placeholder.com/150
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5547.72,1.5,https://via.placeholder.com/150
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",3431.22,2.3,https://via.placeholder.com/150
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",572.7,1.4,https://via.placeholder.com/150
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",6317.13,2.8,https://via.placeholder.com/150
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1951.33,2.7,https://via.placeholder.com/150
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",854.9,2.7,https://via.placeholder.com/150
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",6781.1,2.2,https://via.placeholder.com/150
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",5100.35,3.0,https://via.placeholder.com/150
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",7894.13,3.7,https://via.placeholder.com/150
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",4508.56,1.3,https://via.placeholder.com/150
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5283.78,2.0,https://via.placeholder.com/150
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",2282.5,2.3,https://via.placeholder.com/150
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",3039.46,1.5,https://via.placeholder.com/150
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5022.33,1.2,https://via.placeholder.com/150
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",3928.39,1.6,https://via.placeholder.com/150
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",6459.89,3.2,https://via.placeholder.com/150
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",6329.58,1.8,https://via.placeholder.com/150
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",6815.96,4.9,https://via.placeholder.com/150
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",996.83,3.2,https://via.placeholder.com/150
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4069.49,2.6,https://via.placeholder.com/150
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5334.41,1.7,https://via.placeholder.com/150
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",624.99,1.0,https://via.placeholder.com/150
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",3071.0,2.9,https://via.placeholder.com/150
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",7619.4,3.8,https://via.placeholder.com/150
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3540.78,2.2,https://via.placeholder.com/150
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",1184.41,2.5,https://via.placeholder.com/150
